,Weight,Acc@1,Acc@5,Params,GFLOPS,Recipe,acc_per_params_M,model_type
0,AlexNet ,56.522,79.066,61.1,0.71,link,0.9250736497545008,AlexNet
1,ConvNeXt_Base ,84.062,96.87,88.6,15.36,link,0.9487810383747178,ConvNeXt
2,ConvNeXt_Large ,84.414,96.976,197.8,34.36,link,0.42676440849342767,ConvNeXt
3,ConvNeXt_Small ,83.616,96.65,50.2,8.68,link,1.6656573705179283,ConvNeXt
4,ConvNeXt_Tiny ,82.52,96.146,28.6,4.46,link,2.885314685314685,ConvNeXt
5,DenseNet121 ,74.434,91.972,8.0,2.83,link,9.30425,DenseNet
6,DenseNet161 ,77.138,93.56,28.7,7.73,link,2.687735191637631,DenseNet
7,DenseNet169 ,75.6,92.806,14.1,3.36,link,5.361702127659574,DenseNet
8,DenseNet201 ,76.896,93.37,20.0,4.29,link,3.8448,DenseNet
9,EfficientNet_B0 ,77.692,93.532,5.3,0.39,link,14.658867924528302,EfficientNet
10,EfficientNet_B1 ,78.642,94.186,7.8,0.69,link,10.082307692307692,EfficientNet
11,EfficientNet_B1 ,79.838,94.934,7.8,0.69,link,10.235641025641025,EfficientNet
12,EfficientNet_B2 ,80.608,95.31,9.1,1.09,link,8.858021978021979,EfficientNet
13,EfficientNet_B3 ,82.008,96.054,12.2,1.83,link,6.7219672131147545,EfficientNet
14,EfficientNet_B4 ,83.384,96.594,19.3,4.39,link,4.32041450777202,EfficientNet
15,EfficientNet_B5 ,83.444,96.628,30.4,10.27,link,2.7448684210526317,EfficientNet
16,EfficientNet_B6 ,84.008,96.916,43.0,19.07,link,1.953674418604651,EfficientNet
17,EfficientNet_B7 ,84.122,96.908,66.3,37.75,link,1.2688084464555054,EfficientNet
18,EfficientNet_V2_L ,85.808,97.788,118.5,56.08,link,0.7241181434599157,EfficientNet
19,EfficientNet_V2_M ,85.112,97.156,54.1,24.58,link,1.5732347504621071,EfficientNet
20,EfficientNet_V2_S ,84.228,96.878,21.5,8.37,link,3.917581395348837,EfficientNet
21,GoogLeNet ,69.778,89.53,6.6,1.5,link,10.572424242424244,GoogLeNet
22,Inception_V3 ,77.294,93.45,27.2,5.71,link,2.8416911764705883,Inception
23,MNASNet0_5 ,67.734,87.49,2.2,0.1,link,30.788181818181812,MNASNet
24,MNASNet0_75 ,71.18,90.496,3.2,0.21,link,22.243750000000002,MNASNet
25,MNASNet1_0 ,73.456,91.51,4.4,0.31,link,16.694545454545455,MNASNet
26,MNASNet1_3 ,76.506,93.522,6.3,0.53,link,12.143809523809525,MNASNet
27,MaxVit_T ,83.7,96.722,30.9,5.56,link,2.70873786407767,MaxVit
28,MobileNet_V2 ,71.878,90.286,3.5,0.3,link,20.536571428571428,MobileNet
29,MobileNet_V2 ,72.154,90.822,3.5,0.3,link,20.61542857142857,MobileNet
30,MobileNet_V3_Large ,74.042,91.34,5.5,0.22,link,13.462181818181818,MobileNet
31,MobileNet_V3_Large ,75.274,92.566,5.5,0.22,link,13.686181818181819,MobileNet
32,MobileNet_V3_Small ,67.668,87.402,2.5,0.06,link,27.067200000000003,MobileNet
33,RegNet_X_16GF ,80.058,94.944,54.3,15.94,link,1.4743646408839781,RegNet
34,RegNet_X_16GF ,82.716,96.196,54.3,15.94,link,1.523314917127072,RegNet
35,RegNet_X_1_6GF ,77.04,93.44,9.2,1.6,link,8.373913043478263,RegNet
36,RegNet_X_1_6GF ,79.668,94.922,9.2,1.6,link,8.659565217391306,RegNet
37,RegNet_X_32GF ,80.622,95.248,107.8,31.74,link,0.7478849721706865,RegNet
38,RegNet_X_32GF ,83.014,96.288,107.8,31.74,link,0.7700742115027829,RegNet
39,RegNet_X_3_2GF ,78.364,93.992,15.3,3.18,link,5.121830065359477,RegNet
40,RegNet_X_3_2GF ,81.196,95.43,15.3,3.18,link,5.306928104575163,RegNet
41,RegNet_X_400MF ,72.834,90.95,5.5,0.41,link,13.242545454545455,RegNet
