,Weight,Acc@1,Acc@5,Params,GFLOPS,Recipe,Model,acc_per_params_M,model_type
89,Swin_V2_B_Weights.IMAGENET1K_V1,84.112,96.864,87.9,20.32,link,Swin_V2_B ,0.9569055745164959,Swin
90,Swin_V2_S_Weights.IMAGENET1K_V1,83.712,96.816,49.7,11.55,link,Swin_V2_S ,1.6843460764587526,Swin
91,Swin_V2_T_Weights.IMAGENET1K_V1,82.072,96.132,28.4,5.94,link,Swin_V2_T ,2.8898591549295776,Swin
92,VGG11_BN_Weights.IMAGENET1K_V1,70.37,89.81,132.9,7.61,link,VGG11_BN ,0.5294958615500376,VGG
93,VGG11_Weights.IMAGENET1K_V1,69.02,88.628,132.9,7.61,link,VGG11 ,0.5193378480060196,VGG
94,VGG13_BN_Weights.IMAGENET1K_V1,71.586,90.374,133.1,11.31,link,VGG13_BN ,0.5378362133734035,VGG
95,VGG13_Weights.IMAGENET1K_V1,69.928,89.246,133.0,11.31,link,VGG13 ,0.5257744360902256,VGG
96,VGG16_BN_Weights.IMAGENET1K_V1,73.36,91.516,138.4,15.47,link,VGG16_BN ,0.5300578034682081,VGG
97,VGG16_Weights.IMAGENET1K_V1,71.592,90.382,138.4,15.47,link,VGG16 ,0.5172832369942196,VGG
99,VGG19_BN_Weights.IMAGENET1K_V1,74.218,91.842,143.7,19.63,link,VGG19_BN ,0.5164787752261657,VGG
100,VGG19_Weights.IMAGENET1K_V1,72.376,90.876,143.7,19.63,link,VGG19 ,0.50366040361865,VGG
101,ViT_B_16_Weights.IMAGENET1K_V1,81.072,95.318,86.6,17.56,link,ViT_B_16 ,0.9361662817551964,ViT
104,ViT_B_32_Weights.IMAGENET1K_V1,75.912,92.466,88.2,4.41,link,ViT_B_32 ,0.8606802721088436,ViT
107,ViT_L_16_Weights.IMAGENET1K_V1,79.662,94.638,304.3,61.55,link,ViT_L_16 ,0.2617877094972067,ViT
110,ViT_L_32_Weights.IMAGENET1K_V1,76.972,93.07,306.5,15.38,link,ViT_L_32 ,0.2511321370309951,ViT
111,Wide_ResNet101_2_Weights.IMAGENET1K_V1,78.848,94.284,126.9,22.75,link,Wide_ResNet101_2 ,0.6213396375098502,Wide
113,Wide_ResNet50_2_Weights.IMAGENET1K_V1,78.468,94.086,68.9,11.4,link,Wide_ResNet50_2 ,1.1388679245283018,Wide
